emp_no,first_name,last_name,title,from_date,salary,rnum
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,46581,1
10726,Zita,Minakawa,Senior Engineer,2001-02-24,46315,1
10731,Fumitaka,Peak,Senior Staff,1994-02-20,77892,1
10734,Sachar,Erdi,Engineer,1995-12-19,47377,1
10745,Poorav,Ranze,Senior Engineer,1997-01-22,40000,1
10751,Jordanka,Ushiama,Engineer,1999-12-14,50052,1
10767,Monique,Doering,Staff,1997-07-15,40651,1
10778,Selwyn,Merey,Senior Staff,1986-07-04,64996,1
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,40000,1
10795,Supot,Naudin,Senior Staff,1999-05-03,84206,1
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20,54260,1
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,40000,1
10836,Jianhua,Leivant,Senior Staff,1987-08-10,65502,1
10844,Dipayan,Koprowski,Engineer,1997-04-25,40000,1
10847,Theirry,Danley,Senior Staff,1992-07-24,40000,1
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,50475,1
10867,Billur,Gyorkos,Engineer,1997-03-23,40000,1
10878,Lakshmi,Deville,Staff,1997-04-25,72102,1
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,65651,1
10883,Shimshon,Champarnaud,Engineer,1996-12-28,40000,1
10895,Vishwani,Petersohn,Staff,1986-04-26,67103,1
10909,Georgi,Atchley,Senior Engineer,2000-12-26,80935,1
10912,Oscal,Fasbender,Senior Staff,1991-04-23,45665,1
10918,Susumu,Reghbati,Staff,1990-01-29,59521,1
10924,Hironoby,Atchley,Senior Staff,1997-08-14,84783,1
10927,Gal,Scallan,Senior Staff,1993-09-12,51819,1
10936,Mountaz,Schicker,Senior Staff,1996-05-08,40000,1
10969,Premal,Noriega,Senior Engineer,1994-05-12,40000,1
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,56005,1
10986,Masako,Schiper,Technique Leader,1985-10-11,43900,1
10989,Sumali,Candan,Senior Staff,1991-07-20,46406,1
10990,Shin,Foote,Technique Leader,1990-08-06,40000,1
11009,Alper,Axelband,Senior Staff,1993-09-09,75111,1
11012,Taegyun,Speckmann,Staff,1996-07-06,72092,1
11019,Leon,Huttel,Senior Engineer,1997-05-24,69387,1
11021,Srinidhi,Henders,Staff,1998-02-02,62670,1
11028,Miyeon,Krider,Senior Engineer,1991-06-18,41111,1
11031,Ottavia,Walstra,Senior Staff,1993-10-24,71654,1
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,40000,1
11048,Jaques,Demke,Senior Staff,1999-05-27,65697,1
11050,Elvis,Katiyar,Senior Staff,1991-05-06,52251,1
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,40000,1
11070,Adib,Raney,Senior Engineer,1991-07-24,40000,1
11081,Barry,Boyle,Senior Staff,1994-06-17,65686,1
11085,Hailing,Thummel,Senior Engineer,1996-02-10,66437,1
11112,Boaz,Mukaidono,Staff,1995-04-28,40000,1
11113,Shahab,Peng,Senior Staff,1991-11-30,66401,1
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,40000,1
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,58731,1
11146,Ishfaq,Masand,Senior Staff,1997-08-21,96019,1
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,56344,1
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,69873,1
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,40000,1
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,68049,1
11208,Saniya,Valtorta,Technique Leader,1994-11-17,83660,1
11211,Yurij,Rissland,Senior Engineer,1985-09-17,72668,1
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,40000,1
11249,Randi,Cyre,Engineer,1994-09-22,43324,1
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,40000,1
11290,Visit,Dredge,Engineer,1999-05-13,65034,1
11291,Gino,Glowinski,Senior Engineer,1985-10-20,54307,1
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,66622,1
11320,Atilio,McAlpine,Senior Staff,1998-04-06,45118,1
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,43021,1
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,54288,1
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,82210,1
11339,Flemming,Massonet,Senior Engineer,1989-12-19,40000,1
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,41524,1
11365,Toshimi,Shinomoto,Engineer,1997-12-18,56463,1
11376,Valery,Suomi,Senior Staff,1994-03-14,46964,1
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,53345,1
11385,Shiv,Ullian,Engineer,1999-08-08,40000,1
11386,Alselm,Assaf,Senior Engineer,1993-11-29,47726,1
11393,Junsik,Junot,Senior Engineer,1992-04-30,40000,1
11398,Oscar,Peir,Senior Staff,2001-09-07,44625,1
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,42907,1
11415,Sanjiv,Anido,Engineer,1996-12-07,40000,1
11421,Josyula,Msuda,Senior Engineer,1995-09-02,52416,1
11431,Youngkon,Picht,Senior Staff,1991-09-16,44804,1
11441,Marlo,Aingworth,Senior Staff,1987-03-27,67352,1
11459,Duke,Suomi,Senior Staff,1992-05-02,40000,1
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,44625,1
11501,Karsten,Ranum,Senior Staff,1999-10-24,48608,1
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,40000,1
11513,Otmar,Mahnke,Senior Staff,1998-08-25,82525,1
11518,Jinxi,Oxman,Senior Staff,1999-09-22,40000,1
11527,Alagu,Boyle,Staff,1999-01-28,60212,1
11562,Rimli,Alencar,Engineer,1988-06-30,82255,1
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,86261,1
11578,Edwin,Rosti,Senior Engineer,1991-11-22,40000,1
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,40000,1
11603,Herb,Swen,Senior Staff,1994-04-13,69180,1
11607,Tomokazu,Foong,Engineer,1995-04-19,49584,1
11628,Fan,Malinowski,Senior Engineer,1997-10-23,43966,1
11640,Valeri,Coorg,Senior Engineer,1988-09-26,52520,1
11647,Magy,Nitsche,Senior Engineer,1993-05-11,40000,1
11673,Henk,Felder,Technique Leader,1989-06-10,40000,1
11676,Valeri,Ferriere,Engineer,1998-07-15,43310,1
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,40000,1
11684,Oksana,Gide,Senior Staff,1995-02-21,68753,1
11696,Dante,Rothe,Senior Staff,1994-10-23,51633,1
11705,Arve,Hofmeyr,Senior Staff,1990-10-30,79701,1
11738,Tadahiro,Lichtman,Senior Engineer,1992-06-18,58432,1
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,55951,1
11747,Aksel,Kossowski,Senior Staff,1993-02-20,90239,1
11751,Jiafu,Emiris,Senior Staff,1993-11-03,40000,1
11764,Sanjay,Anick,Senior Engineer,1996-12-15,64875,1
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,40000,1
11772,Gaurav,Penz,Engineer,1999-11-07,61295,1
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,88050,1
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,40000,1
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,41256,1
11813,Gita,Muhlberg,Staff,1987-03-16,94687,1
11832,Arto,Zlotek,Engineer,1996-02-04,40000,1
11844,Shawna,Demeyer,Senior Engineer,1995-01-27,78049,1
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,61941,1
11864,Pradeep,Kriebel,Staff,1995-11-02,52517,1
11871,Nalini,Sommen,Senior Engineer,1998-10-13,67424,1
11872,Cheong,Riexinger,Senior Staff,2002-02-12,43159,1
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,58135,1
11894,Mitchel,Validov,Senior Engineer,1988-06-22,56198,1
11897,Cordelia,Setlzner,Senior Staff,1997-06-16,80049,1
11915,Miomir,Mawatari,Senior Engineer,2001-06-28,58042,1
11931,Gunilla,Chiodo,Senior Staff,2000-01-13,73369,1
11933,Basil,Erman,Senior Engineer,1992-06-12,56130,1
11949,Martijn,Harbusch,Technique Leader,1985-03-11,40000,1
11983,Jaana,Hedayat,Senior Engineer,1994-10-11,40000,1
11987,Vidya,Schaar,Senior Staff,1994-10-17,40000,1
11988,Chinya,Chinin,Senior Engineer,1990-11-03,57652,1
12011,Zhilian,Coorg,Senior Staff,1997-07-22,85833,1
12025,Jaewoo,Heiserman,Staff,1985-02-28,62126,1
12036,Mads,Ratzlaff,Senior Staff,1995-09-05,67143,1
12037,Arunas,Katzenelson,Senior Staff,1992-09-30,47805,1
12050,Yuchang,Tchuente,Engineer,1996-04-01,46704,1
12052,Masako,Khasidashvili,Technique Leader,1986-04-07,40000,1
12062,Margareta,Worfolk,Senior Staff,1996-01-04,44199,1
12069,Ayonca,Burnard,Senior Engineer,1995-05-13,51928,1
12082,Xinan,Yamaashi,Senior Staff,1992-01-29,72118,1
12087,Weijing,Jumpertz,Engineer,1986-08-16,45432,1
12089,Bilhanan,Socorro,Senior Staff,1994-10-22,46288,1
12099,Nobuyoshi,Kuzuoka,Senior Staff,1999-02-15,104610,1
12112,Satyanarayana,Avouris,Senior Staff,1997-09-26,76538,1
12122,Satoru,Krone,Senior Engineer,1992-07-23,46398,1
12123,Xiahua,Syrzycki,Senior Staff,1994-07-18,64879,1
12125,Shounak,Erman,Engineer,1997-03-31,41215,1
12128,Yannik,Barreiro,Staff,1997-08-16,81527,1
12149,Suebskul,Grandbois,Senior Staff,1988-10-01,109934,1
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,41951,1
12183,Harngdar,Iisaku,Engineer,1998-04-04,40000,1
12192,Feiyu,Klyachko,Senior Engineer,1991-09-02,41625,1
12206,Barton,Janetzko,Senior Engineer,2001-03-27,40000,1
12218,Yaghout,Strooper,Senior Engineer,2000-03-11,40000,1
12222,Abdelwaheb,Holburn,Senior Staff,1996-08-14,55840,1
12223,Niteen,Koyama,Senior Engineer,1995-08-13,54459,1
12247,Subbu,Penttonen,Technique Leader,1985-04-09,59183,1
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20,70099,1
12254,Chaitali,Stafford,Engineer,1988-12-23,44848,1
12264,Mart,Pagter,Engineer,1998-01-09,51816,1
12270,Shakhar,Kornyak,Senior Staff,1996-08-19,52840,1
12303,Godehard,Braccini,Senior Staff,1988-06-13,40000,1
12308,Mototsugu,Cronau,Senior Staff,1991-08-11,58741,1
12312,Chenye,Velasco,Engineer,1994-11-24,52344,1
12327,DAIDA,Bruckman,Senior Engineer,1992-10-15,67449,1
12335,Arnould,Genin,Senior Staff,1995-12-01,40000,1
12343,Sorina,Slaats,Senior Staff,1997-08-25,52134,1
12365,Kamakshi,Bisiani,Senior Engineer,1994-09-12,40000,1
12373,Mooi,Driscoll,Senior Staff,1993-11-11,75986,1
12411,Shao,Ibel,Senior Staff,1991-08-17,97610,1
12415,Uri,Sluis,Staff,1994-10-17,53615,1
12422,Berhard,Demos,Senior Staff,2001-06-07,71376,1
12454,Kerryn,Farris,Staff,1998-12-18,41347,1
12475,Filipe,Roison,Senior Engineer,1996-04-25,40000,1
12478,Yahiko,Hopewell,Senior Staff,1997-07-05,50404,1
12487,Mona,Reghbati,Senior Staff,1998-12-07,40000,1
12493,Filipp,Menhardt,Senior Engineer,1988-08-08,40000,1
12497,Stein,Penz,Senior Staff,1997-09-25,81191,1
12501,Morrie,Matheson,Senior Staff,1986-06-05,76082,1
12504,Adly,Rosaz,Engineer,1997-08-14,40000,1
12514,Tomofumi,Melter,Engineer,1999-11-13,54241,1
12528,Conor,Cincotta,Senior Staff,1997-09-24,40000,1
12534,Yongmao,Gerlach,Senior Engineer,1985-08-14,66715,1
12541,Shih,Nanard,Senior Staff,1996-08-31,93105,1
12542,Kazuhide,Bouloucos,Senior Staff,1993-09-11,44176,1
12551,Jeane,Tzvieli,Senior Engineer,1993-12-03,40000,1
12553,Aral,Vesna,Senior Staff,1987-02-28,40000,1
12557,Stafford,Kopetz,Senior Engineer,1988-03-20,41840,1
12589,Anoosh,Chleq,Senior Engineer,1997-09-08,59441,1
12635,Xinyu,Restivo,Senior Engineer,2000-02-03,40000,1
12638,Yuqun,Seiwald,Engineer,1999-04-29,56677,1
12651,Pragnesh,Bael,Senior Staff,1988-01-27,75150,1
12662,Leucio,Alvarado,Engineer,1994-08-27,69016,1
12663,Nobuyoshi,Stellhorn,Technique Leader,1986-09-29,49966,1
12664,Zhonghua,Parveen,Staff,1999-08-04,40000,1
12678,Carrsten,Borovoy,Engineer,1999-06-26,44529,1
12689,Luerbio,Boudaillier,Senior Engineer,2001-11-23,59689,1
12691,Oddvar,Gils,Senior Engineer,1998-08-25,48493,1
12694,Kazuhira,Luders,Engineer,1995-12-01,53019,1
12717,Tzu,Jiafu,Staff,1999-10-20,53194,1
12726,Fumitake,Panwar,Senior Engineer,1994-05-19,61177,1
12729,Nahla,Rahier,Senior Engineer,1997-10-15,51796,1
12730,Barry,Perl,Technique Leader,1993-07-24,40000,1
12731,Yongmao,Waymire,Senior Staff,1988-04-05,40000,1
12732,Mara,Takanami,Senior Staff,1988-04-06,74436,1
12734,Gil,Frijda,Senior Engineer,1986-03-03,40000,1
12759,LiMin,Kuszyk,Senior Staff,1987-05-31,49963,1
12773,Jenwei,Lovengreen,Senior Engineer,1994-03-05,65556,1
12775,Mariangiola,Berendt,Engineer,1999-02-24,69805,1
12790,Gunilla,Perl,Senior Staff,2000-08-07,87760,1
12795,Masoud,Fordan,Senior Staff,1997-06-23,56969,1
12798,Lillian,Beeson,Senior Staff,1996-12-26,81145,1
12803,Gad,Boissier,Senior Staff,1990-03-16,91789,1
12816,Freyja,Ramras,Senior Engineer,1992-04-18,66194,1
12819,Mountaz,Gubsky,Senior Engineer,1996-09-09,48455,1
12846,Krisda,Cyne,Senior Staff,2000-10-15,63962,1
12848,Kazuhide,Smeets,Engineer,1997-05-11,40000,1
12853,Mang,Brobst,Senior Staff,1993-01-04,47160,1
12863,Leif,Matheson,Senior Engineer,1990-09-06,62803,1
12872,Marl,Schmittgen,Senior Staff,1993-09-09,56040,1
12876,Apostol,Goodrum,Engineer,1999-09-01,42277,1
12893,Licheng,Crouzet,Senior Staff,1995-03-18,50803,1
12895,Roddy,Serot,Senior Engineer,1993-08-15,40000,1
12926,Heekeun,Luby,Senior Staff,1992-12-24,68314,1
12937,Arup,Cincotta,Staff,1991-10-27,59206,1
12940,Odinaldo,Farrar,Senior Engineer,1992-12-11,49760,1
12941,Tommaso,Perelgut,Senior Engineer,1995-11-06,67069,1
12951,Mohammad,Keirsey,Senior Staff,1987-09-17,60566,1
12972,Juyoung,Azevdeo,Staff,1988-04-03,40000,1
12974,Gift,Frolund,Senior Staff,1994-10-24,93034,1
12977,Byong,Markovitch,Senior Engineer,1992-08-23,61326,1
12983,Elliott,Hambrick,Staff,1999-06-28,57252,1
13012,Florina,Harbusch,Senior Engineer,1987-12-24,40000,1
13046,Vivian,Stafford,Senior Staff,1987-04-19,40000,1
13047,Atilio,Chelton,Senior Engineer,1997-02-25,52323,1
13062,Xinglin,Baak,Technique Leader,1993-01-08,55665,1
13076,Deniz,Skafidas,Engineer,1995-01-28,50582,1
13096,Ibibia,Armand,Senior Engineer,2001-04-22,52544,1
13103,Srinidhi,Ellozy,Senior Engineer,1988-06-19,40000,1
13113,Kwun,Landherr,Staff,1993-01-16,66941,1
13144,Persi,Nollmann,Senior Staff,1997-06-19,52825,1
13146,Haldon,Erie,Senior Staff,1985-05-25,61398,1
13156,Akeel,Millington,Senior Engineer,2000-08-18,48285,1
13165,Lucian,Benner,Senior Engineer,1995-03-17,42796,1
13168,Munir,Stentiford,Senior Engineer,1992-09-10,49210,1
13171,Anoosh,Birnbaum,Senior Engineer,1995-08-31,40000,1
13173,Arve,Horswill,Senior Staff,1996-09-23,46354,1
13182,Kokou,Rodite,Engineer,1999-03-03,46832,1
13192,Rosita,Flowers,Technique Leader,1993-02-01,43986,1
13202,Aram,Scharstein,Senior Staff,1992-03-28,51915,1
13210,Jianhua,Klassen,Senior Staff,2002-07-27,83961,1
13213,Hein,Billawala,Senior Staff,1993-08-30,61131,1
13233,Alselm,Chvatal,Senior Engineer,1995-03-31,49414,1
13238,Ebru,Foote,Senior Staff,1998-10-10,40000,1
13243,Fay,Huxford,Staff,1999-09-18,67269,1
13250,Zeydy,Schusler,Senior Engineer,1998-10-27,47829,1
13272,Arun,Jiang,Senior Staff,1985-03-10,40000,1
13288,Muneo,Broomell,Senior Staff,1995-04-14,40000,1
13291,Georg,Stamatiou,Senior Engineer,1993-10-30,54720,1
13299,Guiseppe,Butner,Staff,1997-03-08,40000,1
13302,Mack,Alencar,Senior Engineer,1997-09-26,40000,1
13305,Bikash,Herath,Senior Staff,1994-07-17,104969,1
13332,Nidapan,Pearson,Senior Engineer,1997-09-23,40000,1
13333,Yoshinari,Hennebert,Engineer,1996-03-23,50997,1
13341,Bodh,Doering,Senior Staff,1992-03-10,40000,1
13343,Heon,Usery,Senior Staff,1995-07-30,40000,1
13368,Kiyokazu,Klassen,Staff,1997-09-30,52872,1
13371,Nakhoon,Riexinger,Senior Engineer,1991-12-13,40000,1
13373,Juichirou,Naumovich,Senior Staff,2000-08-23,82749,1
13385,Claudi,Buchter,Senior Staff,1986-06-10,40000,1
13386,Khosrow,Sgarro,Technique Leader,1986-02-23,91420,1
13389,Divine,Cmelik,Senior Staff,1988-03-23,40000,1
13392,Fumitake,Beidas,Senior Staff,1993-08-26,69221,1
13396,Chuanyi,Aumann,Senior Staff,1994-03-29,40000,1
13405,Randy,Baba,Senior Staff,1990-05-10,60799,1
13407,Gio,Chenoweth,Senior Engineer,2001-10-03,60348,1
13408,Sreekrishna,Lagarias,Senior Engineer,2000-07-24,52479,1
13422,Vishwani,Gerlach,Senior Engineer,1995-01-17,59466,1
13442,Giordano,Miake,Senior Staff,1994-06-16,40000,1
13443,Mayuko,Puppo,Senior Engineer,1996-12-25,40000,1
13445,Renee,Dehkordi,Engineer,1996-11-29,53194,1
13451,Gretta,Weiland,Senior Staff,1995-08-23,40000,1
13458,Feipei,Nivat,Senior Engineer,1995-03-02,41375,1
13463,Theron,Berstel,Senior Engineer,1993-01-25,40000,1
13465,Sasan,Rehfuss,Engineer,1999-03-12,49821,1
13493,Uinam,Jullig,Senior Engineer,1992-09-06,40000,1
13504,Parto,Mandell,Engineer,1994-12-21,41895,1
13535,Arunas,Schlenzig,Senior Engineer,2000-05-19,40000,1
13549,Matk,Koprowski,Technique Leader,1997-06-18,40000,1
13560,Sibyl,Jeong,Engineer,1994-07-28,40000,1
13576,Jungsoon,Engberts,Senior Staff,2001-08-29,73022,1
13578,Tadahiko,Christianini,Technique Leader,1994-05-22,62885,1
13605,Dmitry,Encarnacion,Senior Staff,1991-09-29,70404,1
13621,Fei,Haddadi,Engineer,1995-02-09,73192,1
13624,Zhigen,Yurek,Senior Staff,1996-05-11,40000,1
13629,Dzung,Trelles,Senior Engineer,1994-01-03,40000,1
13648,Zejun,Lamba,Technique Leader,1985-11-16,47723,1
13653,Kristen,Iivonen,Senior Staff,2000-01-17,53242,1
13670,Moti,Takanami,Senior Engineer,1988-06-30,40000,1
13680,Denny,Speer,Staff,1996-02-05,46968,1
13685,Weicheng,Hockney,Senior Engineer,1999-11-29,48322,1
13697,Shuichi,Weedon,Technique Leader,1985-06-20,40000,1
13698,Domenico,Mitchem,Engineer,1991-03-19,57541,1
13721,Sugwoo,Delgrossi,Senior Staff,2001-09-20,64754,1
13727,Vitali,Merey,Staff,1999-10-07,50798,1
13738,Bangqing,Mitchem,Engineer,1998-06-30,48349,1
13766,Tremaine,Heemskerk,Senior Staff,1986-08-18,43748,1
13768,Sedat,Lovengreen,Staff,1986-11-19,40000,1
13786,Takushi,Berendt,Senior Staff,1995-05-19,74494,1
13787,Xiaobin,Sinicrope,Senior Engineer,1996-10-29,40000,1
13792,Valery,Sury,Senior Staff,1991-07-27,59127,1
13795,Mayuri,Gewali,Technique Leader,1986-08-04,49749,1
13796,Paloma,Thorelli,Engineer,1996-01-01,50962,1
13801,Shih,Mayerwieser,Staff,1999-05-26,64182,1
13809,Kiyotoshi,Basagni,Senior Staff,1991-01-12,43735,1
13815,Guadalupe,Plotkin,Senior Engineer,1993-09-09,40000,1
13841,Christophe,Spinelli,Technique Leader,1992-02-01,52277,1
13842,Juichirou,Cichocki,Senior Staff,2000-04-20,40000,1
13846,Guiseppe,Welham,Senior Staff,1985-03-20,61097,1
13853,Mingsen,Roohalamini,Senior Staff,1991-03-25,61615,1
13859,Anoosh,Fujisawa,Senior Engineer,1992-08-22,40000,1
13883,Kwangyoen,Barreiro,Senior Engineer,1988-02-23,40000,1
13884,Kensei,Swift,Engineer,1998-12-21,44785,1
13894,Ult,Schonegge,Engineer,1995-11-28,48958,1
13904,Youngkon,Cairo,Senior Engineer,1987-09-03,73885,1
13916,Vidya,Wynblatt,Senior Staff,1995-06-06,90797,1
13930,Sukumar,Chartres,Senior Staff,1992-11-26,78867,1
13934,Shiv,Bratsberg,Senior Engineer,1990-04-05,46507,1
13942,Elzbieta,Esteva,Technique Leader,1997-10-13,40000,1
13951,Mooi,Genther,Senior Staff,1990-12-28,82054,1
13960,Nechama,Hettesheimer,Senior Staff,1996-04-06,43204,1
13966,Boguslaw,Cooman,Senior Staff,1990-12-26,40000,1
13969,Jianwen,Chandrasekhar,Technique Leader,1985-05-29,60392,1
13979,Turgut,Highland,Senior Engineer,1995-06-08,50381,1
13986,Geraldo,Ramsey,Staff,1985-12-03,46099,1
13990,Deborah,Schapiro,Engineer,1996-06-10,52723,1
13999,Florian,Crouzet,Senior Staff,2000-02-25,40000,1
14015,Manibrata,Picaronny,Senior Engineer,1997-08-15,63084,1
14034,Aloys,Seghrouchni,Senior Staff,1991-08-26,69700,1
14041,Shan,DeMori,Senior Staff,1995-12-22,63235,1
14045,Ymte,Alpin,Staff,1993-12-28,40000,1
14088,Mori,Leslie,Senior Staff,1994-11-10,44821,1
14107,Xiahua,Rindone,Senior Staff,1999-12-15,82396,1
14118,Kasturi,Anido,Senior Staff,1985-04-06,46248,1
14167,Adas,Hertweck,Senior Engineer,1994-12-01,40000,1
14191,Jiann,Luby,Senior Engineer,1993-01-15,40155,1
14220,Tomofumi,Pargas,Senior Engineer,1987-12-02,68017,1
14224,Guther,Conta,Staff,1986-01-30,40000,1
14232,Masali,Bojadziev,Senior Engineer,1999-09-10,50568,1
14236,Xuedong,Angiulli,Senior Staff,1988-11-07,40000,1
14237,Abdulla,Gerlach,Senior Engineer,1994-06-13,57219,1
14254,Chikara,Narahara,Engineer,1994-09-23,50266,1
14257,Kwok,Massonet,Staff,1998-02-04,40000,1
14275,Tristan,Aseltine,Senior Staff,1999-06-30,94782,1
14292,Susanna,Vigier,Senior Staff,1997-02-18,41846,1
14298,Chriss,Granlund,Senior Engineer,2001-01-06,40000,1
14310,Marlo,Leuchs,Senior Staff,1987-02-23,40000,1
14320,Sreenivas,Schaar,Senior Engineer,1992-06-29,40000,1
14322,Shem,Kakkad,Engineer,1999-11-19,50363,1
14323,Golgen,Leslie,Staff,1997-08-05,40000,1
14345,Barry,Ramsey,Engineer,1985-04-06,61910,1
14354,Mong,Bojadziev,Senior Staff,1990-08-28,40000,1
14372,Saniya,Srimani,Engineer,1999-12-26,57667,1
